ds;y;cat_cancelamento;cat_informação;cat_reclamação;cat_troca;cat_preventiva;cat_pré-venda;cat_solicitação;semana;magazine_luiza;shopee;clube_de_compras;mercado_livre;philco;cnova;britânia;infoar;b2w;amazon;philco_club;não_informado;banco_inter;fast;camicado;carrefour;renner;coopera;senff;angeloni;colombo;leroy_merlin;casa_e_vídeo;le_biscuit;livelo;sicredi;magazine_luiza_prime;bradesco
2025-01-24 00:00:00;2437,578857;545,6100464;776,8752441;198,9328003;113,3483658;183,9867096;239,8209534;86,25105286;0,126831278;433,638855;727,3897705;120,1259918;164,0250397;156,70961;31,54660797;118,9850464;54,47159576;7,071255684;19,28093529;78,37503815;197,42099;13,70120239;0,3318654;3,642837524;4,810305119;2,806744814;4,943707943;8,313419342;1,369190693;2,407011747;0,550253987;2,818863392;2,762701035;16,37711906;7,942481995;7,892743587;1,602563381
2025-01-25 00:00:00;949,5664063;108,5518723;438,074707;35,1857872;0;58,86484909;83,51803589;47,75154114;0,995439947;226,792038;303,2041321;46,48461914;15,58201981;58,1563797;8,262375832;41,99473572;7,543261051;0;0;29,49356651;167,5287628;0;0;0,385217965;0;0;0;0,012536001;0;0;0;0;0,527536631;9,159585953;6,764385223;7,503664017;0,776175618
2025-01-26 00:00:00;687,8942261;35,83310699;371,8453979;0;0;48,13950729;54,47161102;39,05059814;0,859123468;140,3051147;196,0787506;43,3391571;10,28327656;51,08797455;0;39,88220215;1,664106131;0;0;26,02395821;166,8010559;0;0;0,394614518;0;0;0;0;0;0;0;0;0,385730892;9,151714325;6,676920414;7,639042854;0,752083063
2025-01-27 00:00:00;3001,036865;677,1380615;917,8353882;223,564209;156,0159607;330,5404053;313,4318237;100,9365234;0;424,5897827;973,9569092;147,6690826;274,6377258;188,1077423;24,90218163;150,4035492;72,01164246;5,22240448;42,45598602;112,5380859;207,988266;24,03938103;1,890741229;5,915746212;9,16437912;4,161023617;6,816329002;10,88603878;2,377185106;3,563769341;2,346822023;3,838454962;3,525372744;18,42363358;8,431418419;8,113200188;2,27897501
2025-01-28 00:00:00;2838,988281;640,0157471;896,7925415;227,482193;141,5186157;277,5039063;281,6227112;98,99261475;0;466,6429138;859,345459;143,2185974;238,1080475;173,1740417;37,37501144;136,9827576;63,41419601;11,54721832;30,83969688;97,29819489;209,5257568;17,36602402;0,661171675;5,618879318;5,591145992;4,232021332;5,83859539;10,74883366;2,056996822;3,050178766;0,827356994;3,48649025;2,972736359;16,53108215;8,327958107;8,089805603;1,771910071
2025-01-29 00:00:00;2725,022705;604,3710327;887,7489624;218,4594116;134,897522;256,4215698;261,6272583;96,48632813;0;449,0993652;841,7120361;141,9872894;218,1355438;165,0644989;39,1941452;133,8484497;56,19397736;10,18314362;24,0041523;95,14563751;208,9387665;16,93592072;1,305146337;5,738461018;4,565909863;4,247128963;6,351390839;8,851608276;1,731465816;2,440346718;1,331364155;3,239302397;2,811898708;17,4522171;8,220902443;8,056406975;1,554439068
2025-01-30 00:00:00;2686,77124;591,4577637;883,0895996;205,7732391;125,5747223;246,4593048;257,9602661;95,42074585;0;438,5627441;839,3833618;145,9924622;233,7837219;164,9940643;33,85501862;131,2141266;53,15938568;5,292594433;15,56714725;92,81918335;208,6544342;15,70181942;0;5,47585535;4,788535595;4,012297153;5,465908527;8,576915741;1,372187853;2,893017769;1,237238407;2,515484333;2,36697793;17,3550396;8,486566544;8,224402428;1,575355649
2025-01-31 00:00:00;2479,921631;530,8720093;834,743042;193,387085;110,930809;166,6170197;250,2540436;90,34786987;0,117207944;407,96521;754,7793579;138,4454346;190,9127502;159,0814819;31,16392517;132,0191956;47,96173096;3,664008141;10,89489269;80,97135162;205,3430939;13,24242592;0;5,212818623;4,24283886;3,630309105;4,627077579;8,392744064;0,735791206;2,559377193;0,15865314;2,561774731;2,589121342;17,07859802;8,297254562;8,308837891;1,624361515
2025-02-01 00:00:00;986;91;497;29;0;41;92;52;1;197;330;65;43;61;8;56;1;0;0;32;175;0;0;2;0;0;0;0;0;0;0;0;0;10;7;8;1
2025-02-02 00:00:00;718;16;432;0;0;29;61;43;1;106;222;61;38;54;0;54;0;0;0;28;174;0;0;2;0;0;0;0;0;0;0;0;0;10;7;8;1
